threshold,training_cls_0,training_cls_1,testing_cls_0,testing_cls_1
0.01,11,85,16,118
0.02,28,68,43,91
0.03,51,45,64,70
0.04,65,31,49,85
0.05,72,24,96,38
0.06,78,18,111,23
0.07,83,13,113,21
0.08,87,9,119,15
0.09,89,7,119,15
0.1,90,6,122,12
