PRODUCT_ID,CREATE_DATE,TITLE,COST,PRICE,QTY_PURCHASE,QTY_SALES,QTY_STOCK,VENDOR,BRAND,PRD_CATEGORY,PRD_ORIGIN,ISBN13,PUBLISHER,AUTHOR,TRANSLATOR,BOOK_ORGPR,BOOK_DATE,BOOK_PAGES,BOOK_COVER,STD_SALES
9781783931835,2022-01-02 00:00:00.000,First 100: Pretty Pink Words ,18.17,69.00,50,48,4,LBS       ,MBI     ,B.BK ,UK ,9781783931835 ,MBI                      ,                                   ,                                   ,69.00       ,NULL,0,H,0.06986899563318777
9781743638446,2022-01-03 00:00:00.000,1001 Cool Riddles and Tongue Twisters ,13.74,59.00,142,137,0,HINKLER   ,HINKLER ,J&C  ,USA,9781743638446 ,HINKLER                  ,                                   ,                                   ,59.00       ,NULL,208, ,0.19941775836972345
9781743632918,2022-01-03 00:00:00.000,1001 Cool Gross Jokes ,13.35,59.00,210,206,4,HINKLER   ,HINKLER ,J&C  ,USA,9781743632918 ,HINKLER                  ,                                   ,                                   ,59.00       ,NULL,208, ,0.29985443959243085
9781488902840,2022-01-03 00:00:00.000,Cool Kit!: Cool Gross Jokes ,29.44,119.00,60,50,8,HINKLER   ,HINKLER ,G/S  ,USA,9781488902840 ,HINKLER                  ,                                   ,                                   ,119.00      ,NULL,0, ,0.0727802037845706
9781742819860,2022-01-03 00:00:00.000,110% Fun Zap! Extra: Pom-Pom Pets ,29.44,129.00,204,204,2,HINKLER   ,HINKLER ,G/S  ,AUS,9781742819860 ,HINKLER                  ,                                   ,                                   ,115.00      ,NULL,0, ,0.29694323144104806
9781742819907,2022-01-03 00:00:00.000,110% Fun Zap! Extra: Cute Clay Charms ,29.44,129.00,228,195,11,HINKLER   ,HINKLER ,G/S  ,AUS,9781742819907 ,HINKLER                  ,                                   ,                                   ,115.00      ,NULL,0, ,0.2838427947598253
9781743520680,2022-01-03 00:00:00.000,101 Cool Science Experiments ,13.35,59.00,384,365,9,HINKLER   ,HINKLER ,J&C  ,USA,9781743520680 ,HINKLER                  ,                                   ,                                   ,49.90       ,NULL,0, ,0.5312954876273653
9781743520703,2022-01-03 00:00:00.000,1001 Cool Jokes ,13.74,59.00,316,312,0,HINKLER   ,HINKLER ,J&C  ,USA,9781743520703 ,HINKLER                  ,                                   ,                                   ,49.90       ,NULL,0, ,0.45414847161572053
9781743520710,2022-01-03 00:00:00.000,1001 Cool Freaky Facts ,13.35,59.00,324,313,2,HINKLER   ,HINKLER ,J&C  ,USA,9781743520710 ,HINKLER                  ,                                   ,                                   ,49.90       ,NULL,0, ,0.455604075691412
9781743528051,2022-01-03 00:00:00.000,110% Fun Zap! Extra: Glamour Girl - Learn to Be a Make-Up Artist!,29.44,129.00,192,301,0,HINKLER   ,HINKLER ,G/S  ,AUS,9781743528051 ,HINKLER                  ,                                   ,                                   ,115.00      ,NULL,0, ,0.438136826783115
9781426339974,2022-01-04 00:00:00.000,National Geographic Readers (L-3): Ruth Bader Ginsburg,6.28,49.90,50,7,43,AOL       ,HACHETTE,LR-3 ,USA,9781426339974 ,HACHETTE                 ,                                   ,                                   ,49.90       ,2020-11-24 00:00:00.000,0, ,0.010189228529839884
9781426372186,2022-01-04 00:00:00.000,National Geographic Readers (L-3): September 11,13.71,49.90,30,16,14,AOL       ,HACHETTE,LR-3 ,USA,9781426372186 ,HACHETTE                 ,                                   ,                                   ,49.90       ,2021-07-20 00:00:00.000,0, ,0.023289665211062592
9780316393911,2022-01-04 00:00:00.000,Chris Colfer - A Tale of Sorcery ,32.94,119.90,30,30,0,AOL       ,HACHETTE,F    ,USA,9780316393911 ,L-BROWN                  ,Chris Colfer                       ,                                   ,119.90      ,2021-09-28 00:00:00.000,0, ,0.04366812227074236
9780593097519,2022-01-04 00:00:00.000,Who Is: Queen Elizabeth II? ,0.00,59.90,0,0,0,RH        ,PENGUIN ,N/F  ,USA,9780593097519 ,PENGUIN                  ,Megan Stine                        ,                                   ,59.90       ,2021-12-07 00:00:00.000,0, ,0.0
9780399544361,2022-01-04 00:00:00.000,Who Is: Neil deGrasse Tyson? ,0.00,59.90,0,0,0,RH        ,PENGUIN ,N/F  ,USA,9780399544361 ,PENGUIN                  ,Pam Pollack and Meg Belviso        ,                                   ,59.90       ,2021-06-01 00:00:00.000,0, ,0.0
9780448488493,2022-01-04 00:00:00.000,Who Is: Judy Blume? ,0.00,59.90,0,0,0,RH        ,PENGUIN ,N/F  ,USA,9780448488493 ,PENGUIN                  ,"Kirsten Andersen
",,,,,,0.0
9780448488615,2022-01-04 00:00:00.000,Who Was: Leif Erikson? ,0.00,59.90,0,0,0,RH        ,PENGUIN ,N/F  ,USA,9780448488615 ,PENGUIN                  ,Nico Medina                        ,                                   ,59.90       ,2018-06-05 00:00:00.000,0, ,0.0
9780451532428,2022-01-04 00:00:00.000,Who Was: A. A. Milne? ,0.00,59.90,0,0,0,RH        ,PENGUIN ,N/F  ,USA,9780451532428 ,PENGUIN                  ,Sarah Fabiny                       ,                                   ,59.90       ,2021-06-01 00:00:00.000,0, ,0.0
9781474829823,2022-01-05 00:00:00.000,Factivity Kits: Animals ,28.26,149.00,252,244,8,PARRAGON3 ,PARRAGON,G/S  ,AUS,9781474829823 ,PARRAGON                 ,                                   ,                                   ,109.00      ,NULL,0, ,0.35516739446870454
9781845063368,2022-01-11 00:00:00.000,Picture Book (HB): It's My Turn! ,0.00,75.00,0,20,20,MML       ,LTP     ,PIC  ,UK ,9781845063368 ,LTP                      ,David Bedford                      ,                                   ,75.00       ,NULL,0,H,0.029112081513828242
9781845063467,2022-01-11 00:00:00.000,Picture Book (HB): Scaredy Mouse ,0.00,75.00,0,16,24,MML       ,LTP     ,PIC  ,UK ,9781845063467 ,LTP                      ,Alan MacDonald                     ,                                   ,75.00       ,NULL,0,H,0.023289665211062592
9781845068134,2022-01-11 00:00:00.000,Picture Book (HB): Newton and the Big Mess,0.00,75.00,0,18,22,MML       ,LTP     ,PIC  ,UK ,9781845068134 ,LTP                      ,Rory Tyger                         ,                                   ,75.00       ,NULL,0,H,0.026200873362445417
9781845068257,2022-01-11 00:00:00.000,Picture Book (HB): One Magical Morning ,0.00,75.00,0,19,21,MML       ,LTP     ,PIC  ,UK ,9781845068257 ,LTP                      ,Claire Freedman                    ,                                   ,75.00       ,NULL,0,H,0.027656477438136828
9781839030482,2022-01-17 00:00:00.000,Party Pack!: Disney Princess ,7.46,39.00,0,96,0,IGLOO-US$ ,AUTUMN  ,ACT  ,UK ,9781839030482 ,AUTUMN                   ,                                   ,                                   ,39.00       ,NULL,0, ,0.13973799126637554
9780007488308,2022-01-24 00:00:00.000,Lord of the Rings #1: The Fellowship of The Ring (Film Tie In Edition),0.00,119.90,0,1,2,HC        ,HARPER  ,F    ,UK ,9780007488308 ,HC                       ,J. R. R. Tolkien                   ,                                   ,119.90      ,2012-06-01 00:00:00.000,0, ,0.001455604075691412
9780007488322,2022-01-24 00:00:00.000,Lord of the Rings #2: The Two Towers (Film Tie In Edition),0.00,119.90,0,1,2,HC        ,HARPER  ,F    ,UK ,9780007488322 ,HC                       ,J. R. R. Tolkien                   ,                                   ,119.90      ,2012-06-01 00:00:00.000,0, ,0.001455604075691412
9780007488346,2022-01-24 00:00:00.000,Lord of the Ring #3: The Return of the King (Film Tie In Edition),0.00,119.90,0,1,2,HC        ,HARPER  ,F    ,UK ,9780007488346 ,HC                       ,J. R. R. Tolkien                   ,                                   ,119.90      ,2012-06-01 00:00:00.000,0, ,0.001455604075691412
9780007591862,2022-01-24 00:00:00.000,The Hobbit (Film Tie In Edition) ,0.00,105.00,0,2,1,HC        ,HARPER  ,F    ,UK ,9780007591862 ,HC                       ,J. R. R. Tolkien                   ,                                   ,105.00      ,2012-06-01 00:00:00.000,0, ,0.002911208151382824
9781645141501,2022-01-25 00:00:00.000,Smart Start Math Stories and Activities: Grade PreK,30.20,109.90,20,6,14,SINO-PUB  ,EM      ,W/B  ,USA,9781645141501 ,EVAN-MOOR                ,                                   ,                                   ,109.90      ,2022-01-20 00:00:00.000,0, ,0.008733624454148471
9781645141518,2022-01-25 00:00:00.000,Smart Start Math Stories and Activities: Grade K,30.20,109.90,20,6,14,SINO-PUB  ,EM      ,W/B  ,USA,9781645141518 ,EVAN-MOOR                ,                                   ,                                   ,109.90      ,2022-01-20 00:00:00.000,0, ,0.008733624454148471
9781645141525,2022-01-25 00:00:00.000,Smart Start Math Stories and Activities: Grade 1,30.20,109.90,20,8,12,SINO-PUB  ,EM      ,W/B  ,USA,9781645141525 ,EVAN-MOOR                ,                                   ,                                   ,109.90      ,2022-01-20 00:00:00.000,0, ,0.011644832605531296
9781645141532,2022-01-25 00:00:00.000,Smart Start Beginning Coding Stories and Activities: Grade PreK,30.20,109.90,20,4,16,SINO-PUB  ,EM      ,W/B  ,USA,9781645141532 ,EVAN-MOOR                ,                                   ,                                   ,109.90      ,2022-02-20 00:00:00.000,0, ,0.005822416302765648
9781645141549,2022-01-25 00:00:00.000,Smart Start Beginning Coding Stories and Activities: Grade K,30.20,109.90,20,3,17,SINO-PUB  ,EM      ,W/B  ,USA,9781645141549 ,EVAN-MOOR                ,                                   ,                                   ,109.90      ,2022-02-20 00:00:00.000,0, ,0.004366812227074236
9781645141556,2022-01-25 00:00:00.000,Smart Start Beginning Coding Stories and Activities: Grade 1,30.20,109.90,20,4,16,SINO-PUB  ,EM      ,W/B  ,USA,9781645141556 ,EVAN-MOOR                ,                                   ,                                   ,109.90      ,2022-02-20 00:00:00.000,0, ,0.005822416302765648
9781800589841,2022-01-26 00:00:00.000,Window Stickers: Dinosaurs ,12.56,49.00,200,194,5,MBI-US$   ,MBI     ,ACT  ,UK ,9781800589841 ,MBI                      ,                                   ,                                   ,49.00       ,NULL,0, ,0.2823871906841339
9781338819939,2022-02-07 00:00:00.000,Dav Pilkey's Hero Collection (3 HB Set) ,107.07,389.70,18,17,1,SL        ,SL      ,G/S  ,USA,9781338819939 ,SL                       ,"Dav Pilkey
",,,,,,0.024745269286754003
9781338802245,2022-02-07 00:00:00.000,"Geronimo Stilton #80: Have a Heart, Geronimo",21.95,79.90,60,26,34,SL        ,SL      ,C-B  ,USA,9781338802245 ,SL                       ,Geronimo Stilton                   ,                                   ,79.90       ,2022-01-04 00:00:00.000,0, ,0.03784570596797671
9781338304602,2022-02-07 00:00:00.000,The Baby-Sitters Club Graphic Novel #10: Kristy And the Snobs,35.69,129.90,75,62,13,SL        ,SL      ,COMIC,USA,9781338304602 ,SL                       ,Ann M. Martin                      ,                                   ,129.90      ,2021-09-07 00:00:00.000,0, ,0.09024745269286755
